% psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  92.50 -0.383654E-005  0.760124E-005  0.851457E-005  0.875540E-004 -0.174249E-003  0.195009E-003
  93.00 -0.459880E-005  0.911076E-005  0.102056E-004  0.874310E-004 -0.173997E-003  0.194728E-003
  93.50 -0.535825E-005  0.106143E-004  0.118901E-004  0.872849E-004 -0.173697E-003  0.194395E-003
  94.00 -0.611440E-005  0.121109E-004  0.135669E-004  0.871155E-004 -0.173350E-003  0.194009E-003
  94.50 -0.686674E-005  0.135994E-004  0.152347E-004  0.869224E-004 -0.172954E-003  0.193568E-003
  95.00 -0.761473E-005  0.150787E-004  0.168923E-004  0.867052E-004 -0.172509E-003  0.193073E-003
  95.50 -0.835779E-005  0.165475E-004  0.185384E-004  0.864634E-004 -0.172013E-003  0.192521E-003
  96.00 -0.909535E-005  0.180047E-004  0.201716E-004  0.861964E-004 -0.171466E-003  0.191913E-003
  96.50 -0.982681E-005  0.194489E-004  0.217905E-004  0.859038E-004 -0.170867E-003  0.191246E-003
  97.00 -0.105515E-004  0.208789E-004  0.233937E-004  0.855849E-004 -0.170213E-003  0.190519E-003
  97.50 -0.112688E-004  0.222932E-004  0.249795E-004  0.852390E-004 -0.169505E-003  0.189730E-003
  98.00 -0.119780E-004  0.236903E-004  0.265462E-004  0.848654E-004 -0.168739E-003  0.188879E-003
  98.50 -0.126783E-004  0.250687E-004  0.280923E-004  0.844633E-004 -0.167916E-003  0.187962E-003
  99.00 -0.133689E-004  0.264267E-004  0.296159E-004  0.840319E-004 -0.167032E-003  0.186979E-003
  99.50 -0.140490E-004  0.277626E-004  0.311149E-004  0.835702E-004 -0.166087E-003  0.185927E-003
 100.00 -0.147178E-004  0.290745E-004  0.325874E-004  0.830773E-004 -0.165078E-003  0.184804E-003
 100.50 -0.153743E-004  0.303605E-004  0.340313E-004  0.825522E-004 -0.164003E-003  0.183608E-003
 101.00 -0.160176E-004  0.316185E-004  0.354442E-004  0.819939E-004 -0.162860E-003  0.182336E-003
 101.50 -0.166465E-004  0.328464E-004  0.368237E-004  0.814011E-004 -0.161647E-003  0.180986E-003
 102.00 -0.172600E-004  0.340418E-004  0.381674E-004  0.807727E-004 -0.160360E-003  0.179554E-003
 102.50 -0.178569E-004  0.352023E-004  0.394724E-004  0.801074E-004 -0.158999E-003  0.178039E-003
 103.00 -0.184360E-004  0.363253E-004  0.407358E-004  0.794039E-004 -0.157559E-003  0.176437E-003
 103.50 -0.189959E-004  0.374080E-004  0.419547E-004  0.786607E-004 -0.156038E-003  0.174744E-003
 104.00 -0.195353E-004  0.384475E-004  0.431258E-004  0.778764E-004 -0.154433E-003  0.172958E-003
 104.50 -0.200527E-004  0.394406E-004  0.442456E-004  0.770494E-004 -0.152741E-003  0.171074E-003
 105.00 -0.205465E-004  0.403842E-004  0.453105E-004  0.761781E-004 -0.150958E-003  0.169090E-003
 105.50 -0.210150E-004  0.412746E-004  0.463166E-004  0.752607E-004 -0.149080E-003  0.167000E-003
 106.00 -0.214565E-004  0.421081E-004  0.472596E-004  0.742953E-004 -0.147105E-003  0.164802E-003
 106.50 -0.218690E-004  0.428807E-004  0.481353E-004  0.732802E-004 -0.145027E-003  0.162490E-003
 107.00 -0.222506E-004  0.435882E-004  0.489390E-004  0.722133E-004 -0.142843E-003  0.160059E-003
 107.50 -0.225991E-004  0.442261E-004  0.496655E-004  0.710923E-004 -0.140548E-003  0.157505E-003
 108.00 -0.229122E-004  0.447894E-004  0.503097E-004  0.699151E-004 -0.138137E-003  0.154823E-003
 108.50 -0.231876E-004  0.452731E-004  0.508657E-004  0.686794E-004 -0.135606E-003  0.152006E-003
 109.00 -0.234226E-004  0.456717E-004  0.513276E-004  0.673825E-004 -0.132949E-003  0.149050E-003
 109.50 -0.236145E-004  0.459792E-004  0.516888E-004  0.660218E-004 -0.130160E-003  0.145947E-003
 110.00 -0.237603E-004  0.461894E-004  0.519424E-004  0.645946E-004 -0.127234E-003  0.142692E-003
 110.50 -0.238569E-004  0.462954E-004  0.520809E-004  0.630978E-004 -0.124164E-003  0.139277E-003
 111.00 -0.239009E-004  0.462902E-004  0.520964E-004  0.615283E-004 -0.120943E-003  0.135695E-003
 111.50 -0.238887E-004  0.461658E-004  0.519803E-004  0.598827E-004 -0.117565E-003  0.131937E-003
 112.00 -0.238166E-004  0.459140E-004  0.517235E-004  0.581574E-004 -0.114020E-003  0.127996E-003
 112.50 -0.236803E-004  0.455256E-004  0.513160E-004  0.563487E-004 -0.110302E-003  0.123861E-003
 113.00 -0.234753E-004  0.449910E-004  0.507472E-004  0.544523E-004 -0.106400E-003  0.119524E-003
 113.50 -0.231971E-004  0.442997E-004  0.500056E-004  0.524641E-004 -0.102306E-003  0.114974E-003
 114.00 -0.228403E-004  0.434402E-004  0.490788E-004  0.503792E-004 -0.980083E-004  0.110198E-003
 114.50 -0.223995E-004  0.424002E-004  0.479533E-004  0.481926E-004 -0.934963E-004  0.105186E-003
 115.00 -0.218687E-004  0.411664E-004  0.466145E-004  0.458988E-004 -0.887575E-004  0.999230E-004
 115.50 -0.212413E-004  0.397240E-004  0.450465E-004  0.434921E-004 -0.837785E-004  0.943949E-004
 116.00 -0.205105E-004  0.380570E-004  0.432321E-004  0.409660E-004 -0.785446E-004  0.885859E-004
 116.50 -0.196686E-004  0.361479E-004  0.411525E-004  0.383136E-004 -0.730398E-004  0.824787E-004
 117.00 -0.187072E-004  0.339775E-004  0.387870E-004  0.355274E-004 -0.672464E-004  0.760544E-004
 117.50 -0.176174E-004  0.315245E-004  0.361133E-004  0.325991E-004 -0.611448E-004  0.692920E-004
