 % the field is uss
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
 124.50  0.516344E-003 -0.232698E-002  0.238358E-002  0.245017E-003 -0.157181E-002  0.159079E-002
 125.00  0.423898E-003 -0.261941E-002  0.265349E-002  0.174047E-003 -0.178529E-002  0.179375E-002
 125.50  0.263007E-003 -0.295198E-002  0.296368E-002  0.485125E-004 -0.201990E-002  0.202048E-002
 126.00 -0.204107E-004 -0.331490E-002  0.331496E-002 -0.156409E-003 -0.226416E-002  0.226955E-002
 126.50 -0.471451E-003 -0.364306E-002  0.367344E-002 -0.460257E-003 -0.248430E-002  0.252657E-002
 127.00 -0.107548E-002 -0.384108E-002  0.398880E-002 -0.857738E-003 -0.263353E-002  0.276969E-002
 127.50 -0.175204E-002 -0.384596E-002  0.422623E-002 -0.131476E-002 -0.267592E-002  0.298147E-002
 128.00 -0.240805E-002 -0.366613E-002  0.438626E-002 -0.178665E-002 -0.260364E-002  0.315770E-002
 128.50 -0.299582E-002 -0.335354E-002  0.449680E-002 -0.224077E-002 -0.243094E-002  0.330613E-002
 129.00 -0.350974E-002 -0.294572E-002  0.458209E-002 -0.266025E-002 -0.217557E-002  0.343657E-002
 129.50 -0.393649E-002 -0.245842E-002  0.464110E-002 -0.303202E-002 -0.185427E-002  0.355408E-002
