 % the field is all
% Dinn5 settings , t1, t2, t3, t4, tm, tp, eps, step, IntLimit
%   0.105932E+001  0.105932E+001  0.105932E+001  0.369393E+001  0.200000E-001  0.000000E+000  0.100000E-005  0.100000E-001  0.100000E+006
%psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w), fieldCode, cp(1), cp(2), cs(1), cs(2), rho(1), rho(2), h, w
  0.417265E+003  0.832166E+001  0.450000E+001 -0.300000E+001  0.494958E-003  0.257674E-003  0.558013E-003 -0.116548E-003 -0.283462E-003  0.306487E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.416689E+003  0.837616E+001  0.460000E+001 -0.300000E+001  0.458986E-003  0.297013E-003  0.546703E-003 -0.552666E-004 -0.285974E-003  0.291265E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.416121E+003  0.843149E+001  0.470000E+001 -0.300000E+001  0.420417E-003  0.332347E-003  0.535915E-003  0.386639E-005 -0.276766E-003  0.276793E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.415561E+003  0.848764E+001  0.480000E+001 -0.300000E+001  0.379707E-003  0.363657E-003  0.525761E-003  0.586496E-004 -0.256504E-003  0.263124E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.415008E+003  0.854459E+001  0.490000E+001 -0.300000E+001  0.337255E-003  0.390989E-003  0.516346E-003  0.107026E-003 -0.226286E-003  0.250320E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.414462E+003  0.860233E+001  0.500000E+001 -0.300000E+001  0.293386E-003  0.414425E-003  0.507763E-003  0.147174E-003 -0.187611E-003  0.238449E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.413924E+003  0.866083E+001  0.510000E+001 -0.300000E+001  0.248350E-003  0.434066E-003  0.500091E-003  0.177585E-003 -0.142335E-003  0.227587E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.413393E+003  0.872009E+001  0.520000E+001 -0.300000E+001  0.202321E-003  0.450004E-003  0.493394E-003  0.197149E-003 -0.926055E-004  0.217816E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.412869E+003  0.878009E+001  0.530000E+001 -0.300000E+001  0.155411E-003  0.462297E-003  0.487720E-003  0.205204E-003 -0.407776E-004  0.209217E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
  0.412352E+003  0.884081E+001  0.540000E+001 -0.300000E+001  0.107681E-003  0.470945E-003  0.483098E-003  0.201587E-003  0.106817E-004  0.201869E-003  0.000000E+000  0.472000E+001  0.640000E+001  0.379000E+001  0.313000E+001  0.269000E+001  0.893000E+001  0.500000E+001  0.100000E+002
