 % the field is uss
 %psi, R, x, z, re(u), im(u), abs(u), re(w), im(w), abs(w)
  0.923556E+001  0.124615E+002  0.123000E+002  0.000000E+000  0.811521E-003 -0.237970E-003  0.845692E-003 -0.465657E-002  0.206248E-002  0.509288E-002
  0.916235E+001  0.125603E+002  0.124000E+002  0.000000E+000 -0.860824E-003  0.509158E-003  0.100013E-002  0.450444E-002 -0.255356E-002  0.517790E-002
  0.909028E+001  0.126590E+002  0.125000E+002  0.000000E+000  0.617102E-003 -0.735612E-003  0.960177E-003 -0.410574E-002  0.296852E-002  0.506648E-002
  0.901932E+001  0.127577E+002  0.126000E+002  0.000000E+000 -0.313210E-003  0.635487E-003  0.708480E-003  0.365871E-002 -0.311248E-002  0.480351E-002
  0.894946E+001  0.128565E+002  0.127000E+002  0.000000E+000  0.308035E-003 -0.383284E-003  0.491724E-003 -0.342435E-002  0.311716E-002  0.463064E-002
  0.888066E+001  0.129553E+002  0.128000E+002  0.000000E+000 -0.512567E-003  0.355087E-003  0.623548E-003  0.335751E-002 -0.326225E-002  0.468137E-002
  0.881290E+001  0.130541E+002  0.129000E+002  0.000000E+000  0.593843E-003 -0.558356E-003  0.815114E-003 -0.320585E-002  0.358996E-002  0.481303E-002
  0.874616E+001  0.131529E+002  0.130000E+002  0.000000E+000 -0.454812E-003  0.751127E-003  0.878092E-003  0.285267E-002 -0.391171E-002  0.484140E-002
  0.868042E+001  0.132518E+002  0.131000E+002  0.000000E+000  0.219332E-003 -0.770788E-003  0.801386E-003 -0.239746E-002  0.406083E-002  0.471574E-002
  0.861565E+001  0.133507E+002  0.132000E+002  0.000000E+000 -0.773790E-004  0.620629E-003  0.625434E-003  0.201997E-002 -0.403809E-002  0.451513E-002
  0.855183E+001  0.134495E+002  0.133000E+002  0.000000E+000  0.124534E-003 -0.472198E-003  0.488344E-003 -0.180606E-002  0.399396E-002  0.438333E-002
  0.848894E+001  0.135484E+002  0.134000E+002  0.000000E+000 -0.251426E-003  0.479930E-003  0.541800E-003  0.166903E-002 -0.406986E-002  0.439880E-002
  0.842697E+001  0.136473E+002  0.135000E+002  0.000000E+000  0.292943E-003 -0.628898E-003  0.693778E-003 -0.145036E-002  0.426210E-002  0.450211E-002
  0.836589E+001  0.137463E+002  0.136000E+002  0.000000E+000 -0.155246E-003  0.788914E-003  0.804044E-003  0.106600E-002 -0.443167E-002  0.455807E-002
  0.830568E+001  0.138452E+002  0.137000E+002  0.000000E+000 -0.101179E-003 -0.764175E-003  0.770844E-003 -0.603305E-003  0.441626E-002  0.445728E-002
