 % the field is ups
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
  84.00 -0.983660E-004  0.231633E-003  0.251654E-003  0.354671E-005 -0.251757E-004  0.254243E-004
  84.50 -0.944839E-004  0.207015E-003  0.227558E-003  0.269521E-005 -0.211419E-004  0.213131E-004
  85.00 -0.892849E-004  0.183746E-003  0.204290E-003  0.177008E-005 -0.176027E-004  0.176914E-004
  85.50 -0.829772E-004  0.161725E-003  0.181770E-003  0.819530E-006 -0.145208E-004  0.145439E-004
  86.00 -0.757427E-004  0.140841E-003  0.159916E-003 -0.116628E-006 -0.118618E-004  0.118623E-004
  86.50 -0.677399E-004  0.120978E-003  0.138652E-003 -0.100580E-005 -0.959344E-005  0.964602E-005
  87.00 -0.591075E-004  0.102014E-003  0.117900E-003 -0.182162E-005 -0.768711E-005  0.790000E-005
  87.50 -0.499667E-004  0.838234E-004  0.975860E-004 -0.254306E-005 -0.611746E-005  0.662499E-005
  88.00 -0.404243E-004  0.662803E-004  0.776351E-004 -0.315363E-005 -0.486291E-005  0.579597E-005
  88.50 -0.305749E-004  0.492560E-004  0.579739E-004 -0.364072E-005 -0.390571E-005  0.533942E-005
  89.00 -0.205032E-004  0.326210E-004  0.385293E-004 -0.399499E-005 -0.323198E-005  0.513864E-005
  89.50 -0.102872E-004  0.162456E-004  0.192287E-004 -0.421005E-005 -0.283176E-005  0.507379E-005
  90.00  0.000000E+000  0.000000E+000  0.000000E+000 -0.428214E-005 -0.269903E-005  0.506177E-005
  90.50  0.102872E-004 -0.162456E-004  0.192287E-004 -0.421005E-005 -0.283176E-005  0.507379E-005
  91.00  0.205032E-004 -0.326210E-004  0.385293E-004 -0.399499E-005 -0.323198E-005  0.513864E-005
  91.50  0.305749E-004 -0.492560E-004  0.579739E-004 -0.364072E-005 -0.390571E-005  0.533942E-005
  92.00  0.404243E-004 -0.662803E-004  0.776351E-004 -0.315363E-005 -0.486291E-005  0.579597E-005
  92.50  0.499667E-004 -0.838234E-004  0.975860E-004 -0.254306E-005 -0.611746E-005  0.662499E-005
  93.00  0.591075E-004 -0.102014E-003  0.117900E-003 -0.182162E-005 -0.768711E-005  0.790000E-005
  93.50  0.677399E-004 -0.120978E-003  0.138652E-003 -0.100580E-005 -0.959344E-005  0.964602E-005
  94.00  0.757427E-004 -0.140841E-003  0.159916E-003 -0.116628E-006 -0.118618E-004  0.118623E-004
  94.50  0.829772E-004 -0.161725E-003  0.181770E-003  0.819530E-006 -0.145208E-004  0.145439E-004
  95.00  0.892849E-004 -0.183746E-003  0.204290E-003  0.177008E-005 -0.176027E-004  0.176914E-004
  95.50  0.944839E-004 -0.207015E-003  0.227558E-003  0.269521E-005 -0.211419E-004  0.213131E-004
  96.00  0.983660E-004 -0.231633E-003  0.251654E-003  0.354671E-005 -0.251757E-004  0.254243E-004
  96.50  0.100694E-003 -0.257688E-003  0.276663E-003  0.426654E-005 -0.297424E-004  0.300469E-004
  97.00  0.101200E-003 -0.285252E-003  0.302672E-003  0.478537E-005 -0.348812E-004  0.352079E-004
  97.50  0.995790E-004 -0.314377E-003  0.329771E-003  0.502092E-005 -0.406300E-004  0.409390E-004
  98.00  0.954891E-004 -0.345089E-003  0.358056E-003  0.487637E-005 -0.470244E-004  0.472765E-004
  98.50  0.885474E-004 -0.377377E-003  0.387626E-003  0.423851E-005 -0.540953E-004  0.542611E-004
  99.00  0.783281E-004 -0.411191E-003  0.418585E-003  0.297577E-005 -0.618665E-004  0.619380E-004
  99.50  0.643610E-004 -0.446428E-003  0.451043E-003  0.936382E-006 -0.703507E-004  0.703570E-004
 100.00  0.461300E-004 -0.482923E-003  0.485121E-003 -0.205331E-005 -0.795462E-004  0.795727E-004
 100.50  0.230732E-004 -0.520433E-003  0.520945E-003 -0.619035E-005 -0.894312E-004  0.896452E-004
 101.00 -0.541480E-005 -0.558625E-003  0.558651E-003 -0.116965E-004 -0.999583E-004  0.100640E-003
 101.50 -0.399794E-004 -0.597054E-003  0.598391E-003 -0.188189E-004 -0.111047E-003  0.112630E-003
 102.00 -0.812999E-004 -0.635143E-003  0.640325E-003 -0.278298E-004 -0.122575E-003  0.125694E-003
 102.50 -0.130080E-003 -0.672162E-003  0.684633E-003 -0.390249E-004 -0.134367E-003  0.139920E-003
 103.00 -0.187032E-003 -0.707197E-003  0.731511E-003 -0.527209E-004 -0.146186E-003  0.155402E-003
 103.50 -0.252856E-003 -0.739120E-003  0.781176E-003 -0.692493E-004 -0.157713E-003  0.172247E-003
 104.00 -0.328215E-003 -0.766558E-003  0.833868E-003 -0.889485E-004 -0.168539E-003  0.190570E-003
 104.50 -0.413687E-003 -0.787848E-003  0.889855E-003 -0.112150E-003 -0.178138E-003  0.210502E-003
