 % the field is usp
 %psi, re(u), im(u), abs(u), re(w), im(w), abs(w)
 111.50 -0.256716E-004  0.208845E-004  0.330937E-004  0.624935E-004 -0.508399E-004  0.805614E-004
 112.00 -0.284597E-004  0.218779E-004  0.358971E-004  0.675286E-004 -0.519113E-004  0.851757E-004
 112.50 -0.314867E-004  0.228206E-004  0.388869E-004  0.728540E-004 -0.528023E-004  0.899766E-004
 113.00 -0.347664E-004  0.236960E-004  0.420738E-004  0.784762E-004 -0.534877E-004  0.949708E-004
 113.50 -0.383127E-004  0.244856E-004  0.454688E-004  0.844010E-004 -0.539407E-004  0.100165E-003
 114.00 -0.421395E-004  0.251688E-004  0.490837E-004  0.906329E-004 -0.541326E-004  0.105568E-003
 114.50 -0.462609E-004  0.257227E-004  0.529313E-004  0.971758E-004 -0.540332E-004  0.111188E-003
 115.00 -0.506904E-004  0.261219E-004  0.570251E-004  0.104032E-003 -0.536100E-004  0.117033E-003
 115.50 -0.554416E-004  0.263386E-004  0.613799E-004  0.111203E-003 -0.528289E-004  0.123113E-003
 116.00 -0.605275E-004  0.263421E-004  0.660113E-004  0.118687E-003 -0.516537E-004  0.129440E-003
 116.50 -0.659607E-004  0.260988E-004  0.709364E-004  0.126484E-003 -0.500462E-004  0.136025E-003
 117.00 -0.717532E-004  0.255720E-004  0.761738E-004  0.134590E-003 -0.479660E-004  0.142881E-003
 117.50 -0.779160E-004  0.247213E-004  0.817438E-004  0.142998E-003 -0.453708E-004  0.150023E-003
 118.00 -0.844593E-004  0.235031E-004  0.876685E-004  0.151703E-003 -0.422156E-004  0.157468E-003
 118.50 -0.913922E-004  0.218695E-004  0.939724E-004  0.160695E-003 -0.384533E-004  0.165232E-003
 119.00 -0.987228E-004  0.197686E-004  0.100683E-003  0.169963E-003 -0.340341E-004  0.173338E-003
 119.50 -0.106458E-003  0.171437E-004  0.107829E-003  0.179495E-003 -0.289055E-004  0.181808E-003
 120.00 -0.114602E-003  0.139332E-004  0.115446E-003  0.189276E-003 -0.230119E-004  0.190669E-003
 120.50 -0.123161E-003  0.100699E-004  0.123572E-003  0.199289E-003 -0.162942E-004  0.199954E-003
 121.00 -0.132136E-003  0.548009E-005  0.132250E-003  0.209517E-003 -0.868930E-005  0.209697E-003
 121.50 -0.141530E-003  0.832937E-007  0.141530E-003  0.219941E-003 -0.129441E-006  0.219941E-003
 122.00 -0.151342E-003 -0.620935E-005  0.151470E-003  0.230543E-003  0.945883E-005  0.230737E-003
 122.50 -0.161575E-003 -0.134963E-004  0.162137E-003  0.241303E-003  0.201560E-004  0.242144E-003
 123.00 -0.172227E-003 -0.218875E-004  0.173612E-003  0.252205E-003  0.320515E-004  0.254233E-003
 123.50 -0.183303E-003 -0.315072E-004  0.185991E-003  0.263234E-003  0.452462E-004  0.267094E-003
 124.00 -0.194808E-003 -0.424975E-004  0.199389E-003  0.274381E-003  0.598565E-004  0.280834E-003
 124.50 -0.206755E-003 -0.550235E-004  0.213952E-003  0.285649E-003  0.760193E-004  0.295591E-003
 125.00 -0.219170E-003 -0.692816E-004  0.229859E-003  0.297051E-003  0.939007E-004  0.311540E-003
 125.50 -0.232094E-003 -0.855103E-004  0.247345E-003  0.308628E-003  0.113708E-003  0.328908E-003
 126.00 -0.245602E-003 -0.104009E-003  0.266718E-003  0.320454E-003  0.135708E-003  0.348005E-003
 126.50 -0.259820E-003 -0.125170E-003  0.288399E-003  0.332666E-003  0.160264E-003  0.369257E-003
 127.00 -0.274965E-003 -0.149527E-003  0.312992E-003  0.345501E-003  0.187885E-003  0.393283E-003
 127.50 -0.291418E-003 -0.177859E-003  0.341406E-003  0.359382E-003  0.219340E-003  0.421029E-003
 128.00 -0.309890E-003 -0.211396E-003  0.375127E-003  0.375099E-003  0.255880E-003  0.454064E-003
 128.50 -0.331842E-003 -0.252330E-003  0.416881E-003  0.394271E-003  0.299801E-003  0.495308E-003
 129.00 -0.360900E-003 -0.305445E-003  0.472806E-003  0.420920E-003  0.356242E-003  0.551437E-003
 129.50 -0.411431E-003 -0.387462E-003  0.565157E-003  0.471064E-003  0.443620E-003  0.647070E-003
 130.00 -0.593758E-003 -0.383578E-003  0.706881E-003  0.667390E-003  0.431145E-003  0.794541E-003
 130.50 -0.632365E-003 -0.320256E-003  0.708836E-003  0.697816E-003  0.353403E-003  0.782203E-003
 131.00 -0.650042E-003 -0.287370E-003  0.710730E-003  0.704256E-003  0.311337E-003  0.770005E-003
