% Model:              Layer on halfspace, reflected field.mph
% Version:            COMSOL 5.6.0.341
% Date:               May 14 2023, 19:38
% Dimension:          1
% Nodes:              1047
% Expressions:        1
% Description:        Line graph
% cln1x                   Height
0.0024390055916053317     1.2029289926689E-9
0.002463209637434047      1.1788059350316103E-9
0.002478958079707698      1.1596571248576271E-9
0.002502921433935035      1.1198770884858766E-9
0.0025187049044433285     1.0926679638096582E-9
0.002542357492354404      1.0324594969945387E-9
0.002558143495840797      9.872354265373695E-10
0.0025821358431527626     9.221900946195432E-10
0.0025983374091776553     8.756216916532556E-10
0.0026221426682063987     8.004582915283594E-10
0.002638531322514514      7.444726890640524E-10
0.0026621494932600343     6.609365898264142E-10
0.002678725235851373      6.02147435182707E-10
0.0027021563183136704     5.16798540721341E-10
0.002718636007897005      4.619475724860551E-10
0.0027416688685556094     3.837376009553535E-10
0.0027581510050885666     3.3912597455533873E-10
0.002781612382190895      3.1003793956837527E-10
0.0027982125939374825     3.115901869104473E-10
0.002821864322656007      3.3967221227039426E-10
0.0028382741827863984     3.7385139455627097E-10
0.002862116263121119      4.3947171187496047E-10
0.0028783357716353148     4.897191136361488E-10
0.002902368203586232      5.598666479955293E-10
0.002918205024232064      6.099533351315054E-10
0.002941964162442544      6.729039622274904E-10
0.0029577859080817046     7.131863199078108E-10
0.0029818526108112866     7.745167916050846E-10
0.0029976815657851664     8.094389395516023E-10
0.0030219357110335115     8.523698780858344E-10
0.0030375772234886283     8.742252946076918E-10
0.0030620188112557368     9.015008637669832E-10
0.003077472881192091      9.136403092309839E-10
0.0031021019114779616     9.156403525720198E-10
0.003117203678203796      9.15147353506703E-10
0.0031415546044874687     8.918571148840428E-10
0.0031566685121537734     8.730443514439523E-10
0.003181162802514696      8.42085310739379E-10
0.003196338159976396      8.202894971439525E-10
0.0032208675661036914     7.793117089172154E-10
0.0032360078077990177     7.525782098380518E-10
0.003260572329692687      7.138235850786212E-10
0.0032756774556216397     6.948567014471868E-10
0.003300277093281684      6.651390178474081E-10
0.0033152205474050516     6.567668136173834E-10
0.0033395698000573816     6.429155392508351E-10
0.0033545570545428878     6.44702071464591E-10
0.0033789304839275574     6.664865059434471E-10
0.003393965996467393      6.878728852569696E-10
0.00341833308390783       7.316773787869998E-10
0.0034333749383918984     7.656120692627796E-10
0.0034577356838881        8.342859211949526E-10
0.003472783880316404      8.829396009345099E-10
0.0034971382838683723     9.569318132460643E-10
0.0035121189263856824     1.0061053487916692E-9
0.003536309937933361      1.073348160785704E-9
0.0035513344278077274     1.1137025885443174E-9
0.0035755133546589804     1.1752268025159872E-9
0.003590559642884379      1.2081128099185231E-9
0.003614736534275567      1.2496778485676897E-9
0.003629784857961029      1.2700925489060604E-9
0.0036539597138921525     1.2985549055983445E-9
0.003669010073037681      1.3135072827103915E-9
0.003693182893508739      1.3219970358627358E-9
0.0037081958321741595     1.3259216509953953E-9
0.003732275323804188      1.3131564417970835E-9
0.0037473182285445612     1.3010476505551824E-9
0.0037713807830471063     1.2774710609207843E-9
0.0037864199720831484     1.2591711219865664E-9
0.003810494391856852      1.2197062193040415E-9
0.0038255217156217365     1.1886718363883017E-9
0.0038496080006665966     1.1321664744906488E-9
0.003864623459160323      1.0940547545308465E-9
0.0038887216094763426     1.021821196471995E-9
0.0039037061877705563     9.767657723924995E-10
0.00392775872838243       8.885431179731283E-10
0.003942758375390047      8.308076222719562E-10
0.003966793796644684      7.405722204313323E-10
0.003981777406406199      6.870205778683071E-10
0.004005827585282619      6.007349590683592E-10
0.004020796437422352      5.461044632745532E-10
0.004044861373920556      4.617304484538684E-10
0.004059815468438504      4.1555558825922204E-10
0.0040838951625584916     3.495703057979285E-10
0.004098828134930455      3.219775572516443E-10
0.004122889245678874      2.88308042668143E-10
0.004137830542881678      2.868636088597271E-10
0.004161869063941236      3.1704454477697696E-10
0.004176803522047145      3.5085422179757376E-10
0.004200840021047805      4.1778075730809176E-10
0.004215776501212612      4.658086716458797E-10
0.0042398109781543744     5.523774625759428E-10
0.004254749480378078      6.081424276441847E-10
0.004278781935260945      6.854491470250723E-10
0.004293724193628038      7.320429252544192E-10
0.004317744735825343      7.960651310866139E-10
0.004332701696225046      8.337098208078542E-10
0.004356689755282381      8.904117364409347E-10
